id,section,question,option1,option2,option3,option4,correct
1,"Fundamentos del Motor",¿El motor de cuatro tiempos recibe ese nombre por?,Tiene cuatro cilindros.,Realiza cuatro explosiones por ciclo.,El pistón completa cuatro carreras por ciclo.,Necesita cuatro vueltas del cigüeñal.,El pistón completa cuatro carreras por ciclo.
2,"Fundamentos del Motor",En un motor de cuatro tiempos, el árbol de levas gira:,Dos veces por ciclo.,Una vez por ciclo.,A la misma velocidad del cigüeñal.,Tres veces por ciclo.,Una vez por ciclo.
3,"Fundamentos del Motor",En un motor de dos tiempos. ¿Qué ciclos de funcionamiento se realizan?,Solo admisión y escape.,Compresión y escape únicamente.,Admisión, compresión, expansión y escape superpuestos.,Expansión y admisión únicamente.,Admisión, compresión, expansión y escape superpuestos.
4,"Fundamentos del Motor",En PMS el volumen del cilindro es:,Máximo,Intermedio,Igual al desplazamiento,Mínimo,Mínimo
5,"Fundamentos del Motor",En PMI el volumen del cilindro es:,Máximo,Mínimo,Intermedio,Igual al desplazamiento,Máximo
6,"Fundamentos del Motor",La combustión en un motor diésel ocurre por:,Chispa,Detonación,Compresión,Fricción,Compresión
7,"Fundamentos del Motor",La gasolina es:,Una mezcla de hidrocarburos,Un solo compuesto C8H18,Un derivado sólido del petróleo,Un compuesto formado por alcohol,Una mezcla de hidrocarburos
8,"Fundamentos del Motor",El triángulo del fuego está compuesto por:,Combustible, comburente y calor,Combustible, agua y aire,Aire, aceite y gasolina,Calor, aceite y CO₂,Combustible, comburente y calor
9,"Fundamentos del Motor",Un facto de Lambda = 1.10 indica:,Mezcla rica,Mezcla pobre,Mezcla neutra,Detonación,Mezcla pobre
10,"Fundamentos del Motor",Una relación de mezcla aire–combustible 8:1 es:,Estequiométrica,Rica,Pobre,Neutra,Rica
11,"Fundamentos del Motor",El octanaje en el combustible indica:,Poder calorífico,Resistencia a la detonación,Densidad del combustible,Punto de ebullición,Resistencia a la detonación
12,"Fundamentos del Motor",¿Qué mide el sensor MAF?,Presión,Flujo de aire,Temperatura del refrigerante,Aceleración,Flujo de aire
13,"Fundamentos del Motor",¿Qué mide el sensor MAP?,Masa de aire,Ángulo del acelerador,Presión en el colector de admisión,Temperatura del aire,Presión en el colector de admisión
14,"Fundamentos del Motor",El valor estequiométrico aire–gasolina es:,12.5:1,10:1,16:1,14.7:1,14.7:1
15,"Fundamentos del Motor",Mezcla pobre se da cuando:,λ < 1,λ > 1,λ = 1,λ = 0,λ > 1
16,"Fundamentos del Motor",Mezcla rica se da cuando:,λ = 1,λ > 1,λ < 1,λ = 2,λ < 1
17,"Fundamentos del Motor",¿Cómo se denomina al inserto metálico donde se desplaza el pistón?,Camisa,Asiento,Taqué,Guía,Camisa
18,"Fundamentos del Motor",La operación de mecanizado de bruñido genera:,Rayas oblicuas para retener aceite,Una superficie perfecta tipo espejo,Una cámara de combustión rugosa,Un canal de lubricación interno,Rayas oblicuas para retener aceite
19,"Fundamentos del Motor",Cual componente convierte el movimiento lineal del pistón en rotación:,Árbol de levas,Volante,Biela,Cigüeñal,Cigüeñal
20,"Fundamentos del Motor",Una bujía caliente significa que:,Disipa poco calor,Enfría demasiado,Produce más chispa,Opera a baja temperatura,Disipa poco calor
21,"Fundamentos del Motor",La correa de distribución sincroniza:,Bomba de gasolina y alternador,Cigüeñal y árbol de levas,Pistón con biela,Bomba de aceite con cigüeñal,Cigüeñal y árbol de levas
22,"Fundamentos del Motor",Un motor Otto enciende mediante:,Compresión,Chispa,Auto–encendido,Detonación,Chispa
23,"Fundamentos del Motor",La bomba eléctrica de combustible moderna en vehículos a gasolina se encuentra en:,El block,El cabezote,El tanque de combustible,La línea de retorno,El tanque de combustible
24,"Fundamentos del Motor",En motores carburados, la mezcla se genera en el:,Inyector,Carburador,Sensor MAF,Bomba mecánica,Carburador
25,"Fundamentos del Motor",Función principal del radiador:,Aumentar presión,Disipar calor del refrigerante,Filtrar aceite,Ajustar mezcla,Disipar calor del refrigerante
26,"Fundamentos del Motor",¿Qué ciclo mantiene la presión constante durante la combustión?,Otto,Diésel,Atkinson,Miller,Diésel
27,"Fundamentos del Motor",¿Cuál es el ángulo de inyección típico en diésel IDI?,15°,30°,45°,60°,30°
28,"Fundamentos del Motor",Componente que adelanta la inyección en bomba rotativa:,Válvula reguladora,Avance centrífugo,Corrector de humo,Válvula de descarga,Avance centrífugo
29,"Fundamentos del Motor",Elemento que NO pertenece a una bomba rotativa:,Cabezal hidráulico,Pistón distribuidor,Variador de vacío,Eje de mando,Variador de vacío
30,"Fundamentos del Motor",El retardo de ignición del diésel se mide con:,Índice Octano,Reid,Cetano,Viscosidad,Cetano
31,"Fundamentos del Motor",Cual es el sistema encargado de transformar los óxidos de nitrógeno con la adición de urea.,EGR,Catalizador 3 vías,SCR,DPF,SCR
32,"Fundamentos del Motor",Sistema que reduce el material particulado (PM):,DPF,EVAP,SCR,PCV,DPF
33,"Fundamentos del Motor",La cilindrada indica:,Tamaño del motor,Temperatura de trabajo,Eficiencia,Consumo,Tamaño del motor
34,"Fundamentos del Motor",La relación de compresión es:,Vmáx / Vmín,Vmín / Vmáx,Vcámara / Vdesplazamiento,Vcámara – Vmín,Vmáx / Vmín
35,"Fundamentos del Motor",Un motor sobrecuadrado posee:,Diámetro mayor que carrera,Carrera mayor que diámetro,Carrera igual al diámetro,Relación 1:1,Diámetro mayor que carrera
36,"Fundamentos del Motor",La menor eficiencia del ciclo Otto es:,Eficiencia térmica,Volumétrica,Mecánica,De combustión,Eficiencia térmica
37,"Fundamentos del Motor",La presión media efectiva (PME) representa:,La presión en el múltiple,Una presión teórica equivalente del ciclo,La presión máxima del cilindro,La presión del aceite,Una presión teórica equivalente del ciclo
38,"Fundamentos del Motor",La potencia es:,Fuerza del pistón,Capacidad de realizar trabajo por unidad de tiempo,Revoluciones del motor,Presión en admisión,Capacidad de realizar trabajo por unidad de tiempo
39,"Fundamentos del Motor",¿Qué caracteriza a un motor en línea?:,Rodillos en bancada,Cilindros alineados verticalmente,Cámara epitrocoidal,Doble árbol,Cilindros alineados verticalmente
40,"Fundamentos del Motor",Un motor bóxer posee:,Cilindros en V,Cilindros opuestos horizontalmente,Un solo pistón central,Rotor triangular,Cilindros opuestos horizontalmente
41,"Fundamentos del Motor",Motor en V se caracteriza por:,Cilindros opuestos,Cilindros inclinados formando un ángulo,Cilindros en línea,Acople de engranajes,Cilindros inclinados formando un ángulo
42,"Fundamentos del Motor",La válvula de admisión abre normalmente:,Justo en PMS,Antes del PMS,En PMI,Después del PMI,Antes del PMS
43,"Fundamentos del Motor",El ángulo donde ambas válvulas están abiertas se llama:,Precombustión,Cavitación,Traslape,Expansión,Traslape
44,"Fundamentos del Motor",En sistemas modernos, el encendido lo controla la:,PCV,ECU,MAF,EGR,ECU
45,"Fundamentos del Motor",Si salta un diente de la correa de distribución:,El motor pierde sincronización,Mejora la eficiencia,Aumenta la compresión,Baja el ralenti,El motor pierde sincronización
46,"Fundamentos del Motor",El aceite más viscoso a temperatura de trabajo es:,5W30,10W30,15W40,10W50,10W50
47,"Fundamentos del Motor",Función de la válvula PCV:,Enviar gases del cárter a la admisión,Aumentar compresión,Reducir NOx,Enfriar mezcla,Enviar gases del cárter a la admisión
48,"Fundamentos del Motor",Si la PCV se bloquea:,Aumenta presión en cárter,Baja el consumo,Mejora el ralenti,Se reduce la fricción,Aumenta presión en cárter
49,"Fundamentos del Motor",Humo azul en escape indica:,Agua,Aceite quemado,Mezcla pobre,Hollín,Aceite quemado
50,"Fundamentos del Motor",La bomba de aceite envía lubricante a:,Múltiple,Zonas de fricción,Radiador,Escape,Zonas de fricción
51,"Fundamentos del Motor",Sistemas anticontaminantes modernos diésel incluyen:,Filtro de aire y EGR,DPF, SCR y catalizador de oxidación,VVT + EVAP,Solo catalizador 3 vías,DPF, SCR y catalizador de oxidación
52,"Fundamentos del Motor",¿Qué parámetro permite comparar motores de distinta cilindrada?:,RPM,PME,Consumo,Torque,PME
53,"Fundamentos del Motor",¿Qué ocurre al rectificar una culata?:,Disminuye la compresión,Aumenta la relación de compresión,Baja temperatura,Se aumenta la holgura,Aumenta la relación de compresión
54,"Fundamentos del Motor",¿Qué gasolina reduce más la detonación?:,Gasolina con bajo octanaje,Gasolina con alto octanaje,Gasolina aromática,Gasolina sin aditivos,Gasolina con alto octanaje
55,"Fundamentos del Motor",¿Qué herramienta mide la holgura real entre muñón y cojinete?:,Torquímetro,Plastigage,Calibrador,Galga plástica,Plastigage
56,"Fundamentos del Motor",Rectificado de cigüeñal se hace con:,Lijas abrasivas,Muelas abrasivas,Fresa carburada,Disco diamantado,Muelas abrasivas
57,"Fundamentos del Motor",El motor Wankel usa dos bujías porque:,Tiene doble cámara,La cámara es alargada y mejora la combustión,Enciende combustible sobrante,Permite ralentí más estable,La cámara es alargada y mejora la combustión
58,"Fundamentos del Motor",Forma del rotor Wankel:,Hexagonal,Triangular,Circular,Cuadrada,Triangular
59,"Fundamentos del Motor",Los puertos de admisión y escape del motor Wankel se llaman:,Válvulas,Lumbreras,Puertos rotativos,Cámaras secundarias,Lumbreras
60,"Fundamentos del Motor",La cámara del motor Wankel es:,Circular,Trapezoidal,Epitrocoidal,Cilíndrica,Epitrocoidal
61,"Fundamentos del Motor",¿Cuál es el principal problema ambiental del motor Wankel?:,CO₂,HC sin quemar,SO₂,NOx,HC sin quemar
62,"Fundamentos del Motor",¿Qué lubricación adicional requiere el motor Wankel?:,Aceite en admisión para sellos,Cárter húmedo,Lubricación por salpicadura,Cárter seco completo,Aceite en admisión para sellos
63,"Fundamentos del Motor",Parámetro fundamental del combustible diésel:,Aditivos aromáticos,Cetano,Octano,Densidad,Cetano
64,"Fundamentos del Motor",¿Qué NO influye en la detonación?:,Temperatura,Relación de compresión,Color del combustible,Octanaje,Color del combustible
65,"Fundamentos del Motor",¿Qué condición aumenta formación de hollín en diésel?:,Exceso de aire,Mezcla rica,Alta humedad,Baja temperatura,Mezcla rica
66,"Fundamentos del Motor",¿Qué sistema reduce NOx?:,PCV,SCR,DPF,EVAP,SCR
67,"Fundamentos del Motor",El trabajo neto del ciclo se obtiene de:,Diagrama PV,Diagrama lambda,Curva de potencia,Mapa de avance,Diagrama PV
68,"Fundamentos del Motor",La eficiencia térmica en un motor aumenta con:,Menor compresión,Mayor compresión,Mayor mezcla rica,Menor temperatura,Mayor compresión
69,"Fundamentos del Motor",¿Dónde se encuentra la bomba Common Rail?:,En el tanque,Acoplada al árbol de levas, alta presión,En múltiples de admisión,En eje primario,Acoplada al árbol de levas, alta presión
70,"Fundamentos del Motor",¿Qué regula la presión de combustible en sistemas multipunto?:,Regulador,ECU,Sensor ECT,Bomba de vacío,Regulador
71,"Fundamentos del Motor",¿Qué sistema controla la mezcla en tiempo real?:,Carburador,Inyección electrónica,PCV,Válvula EGR,Inyección electrónica
72,"Fundamentos del Motor",¿Qué componente determina el tiempo exacto de encendido?:,Sensor CKP,ECT,MAF,IAC,Sensor CKP
73,"Fundamentos del Motor",¿Qué ocurre si el termostato queda cerrado?:,Ralentí alto,Sobrecalentamiento,Mezcla pobre,Baja potencia,Sobrecalentamiento
74,"Fundamentos del Motor",¿Cuánto aceite se mezcla en proporción 50:1 con 100 L de gasolina en 2T?:,1 L,2 L,5 L,10 L,2 L
75,"Fundamentos del Motor",¿Qué parámetro de eficiencia depende del ciclo termodinámico?:,Eficiencia térmica,Eficiencia de mezcla,Eficiencia eléctrica,Eficiencia de lubricación,Eficiencia térmica
76,"Inyección Electrónica",El código de falla P0302 indica una falla en el cilindro 2. ¿A qué tipo pertenece este código?,Genérico,Específico del fabricante,De red,De comunicación,Genérico
77,"Inyección Electrónica",En los DTC OBD-II, ¿qué identifica el primer carácter (letra)?,"El sistema del vehículo (P, B, C o U)","El tipo de error","La severidad de la falla",El fabricante,"El sistema del vehículo (P, B, C o U)"
78,"Inyección Electrónica",¿Dónde se conecta el escáner de diagnóstico OBD-II?,En el módulo PCM,En el conector del alternador,"En el conector de diagnóstico (DLC)",En el sensor de oxígeno,"En el conector de diagnóstico (DLC)"
79,"Inyección Electrónica",¿Qué sistema utiliza un hilo caliente como entrada principal para medir masa de aire?,Jetronic K,Jetronic L,Jetronic LH,D-Jetronic,Jetronic LH
80,"Inyección Electrónica",¿Qué sensor ajusta la mezcla aire-combustible según la carga del motor?,MAF,MAP,TPS,ECT,MAP
81,"Inyección Electrónica",Un vehículo no arranca. DTC almacenado: P0342. ¿Cuál es la causa más probable?,Sensor CKP defectuoso,Sensor CMP defectuoso,Falta de combustible,Bujías en corto,Sensor CMP defectuoso
82,"Inyección Electrónica",¿Qué relación aire-combustible corresponde a mezcla rica?,13:1,15:1,17:1,19:1,13:1
83,"Inyección Electrónica",El código P0301 indica falla de encendido en el cilindro 1. ¿Qué significa el dígito 0 en el código?,Falla genérica,Falla específica del fabricante,Falla de comunicación,Falla intermitente,Falla genérica
84,"Inyección Electrónica",¿Qué sensor detecta la velocidad de giro del cigüeñal?,CMP,CKP,TPS,ECT,CKP
85,"Inyección Electrónica",Un motor presenta humo negro y mezcla rica. ¿Cuál podría ser la causa?,Sensor MAP defectuoso,Presión de combustible alta,Filtro de aire limpio,Sensor TPS desconectado,Presión de combustible alta
86,"Inyección Electrónica",¿Qué tipo de sensor mide la temperatura del refrigerante?,MAP,TPS,ECT,MAF,ECT
87,"Inyección Electrónica",¿Cuál de las siguientes afirmaciones es cierta sobre un fallo común en el sistema de inyección MPI?,La válvula de control de presión está obstruida.,"La sonda lambda está funcionando correctamente.","La computadora del motor no está conectada.",El filtro de combustible está limpio.,La válvula de control de presión está obstruida.
88,"Inyección Electrónica",¿Qué podría causar un aumento en el consumo de combustible en un sistema de inyección MPI?,Una presión de combustible baja.,Un exceso de presión de combustible.,Inyectores de combustible obstruidos.,Válvulas de admisión selladas.,Inyectores de combustible obstruidos.
89,"Inyección Electrónica",¿Cuál es un síntoma de un regulador de presión de combustible defectuoso en un sistema MPI?,Pérdida de potencia del motor.,Exceso de humo en el escape.,Presión de combustible inconsistente.,Altas revoluciones en ralentí.,Presión de combustible inconsistente.
90,"Inyección Electrónica",¿Qué función cumple el sensor de posición del pedal del acelerador en un sistema de inyección MPI?,Controlar la temperatura del motor.,Regular la presión del combustible.,Medir la cantidad de aire admitido.,Monitorear la posición del pedal del acelerador.,Monitorear la posición del pedal del acelerador.
91,"Inyección Electrónica",¿Cuál es un posible efecto de una bujía defectuosa en un motor con sistema de inyección MPI?,Aumento de la eficiencia del combustible.,"Encendido irregular o dificultades para arrancar.","Reducción de las emisiones de escape.",Mejora en el rendimiento del ralentí.,Encendido irregular o dificultades para arrancar.
92,"Inyección Electrónica",¿Qué podría causar una mezcla de combustible y aire demasiado rica en un sistema de inyección MPI?,Filtro de aire obstruido.,Sensor de oxígeno defectuoso.,Baja presión de combustible.,"Inyectores de combustible con exceso de limpieza.",Sensor de oxígeno defectuoso.
93,"Inyección Electrónica",¿Qué podría causar un ralentí inestable en un motor con sistema de inyección MPI?,Válvula de mariposa atascada.,Bujías en buen estado.,Sensor de posición del cigüeñal defectuoso.,Filtro de aire limpio.,Válvula de mariposa atascada.
94,"Inyección Electrónica",¿Qué función cumple la sonda lambda en un sistema de inyección MPI?,Medir la cantidad de aire admitido.,Controlar la presión del combustible.,Monitorear y ajustar la mezcla aire-combustible.,Regular la temperatura del escape.,Monitorear y ajustar la mezcla aire-combustible.
95,"Inyección Electrónica",Al analizar un oscilograma de la tasa de inyección en un sistema GDI, ¿cómo se vería una variación irregular en la duración de la inyección?,Reducción en la duración de la inyección durante la fase de carga.,Puede indicar problemas en la sincronización de los inyectores o en el sistema de control.,Variación en la frecuencia de la señal.,Aumento constante en la duración de la inyección.,Puede indicar problemas en la sincronización de los inyectores o en el sistema de control.
96,"Inyección Electrónica",¿Cuál podría ser la causa de una duración de inyección variable durante la fase de ralentí en un sistema MPI?,Sensor de posición del acelerador en buen estado.,Buena calidad de combustible.,Posibles problemas en el sistema de control de ralentí.,Filtro de combustible obstruido.,Posibles problemas en el sistema de control de ralentí.
97,"Inyección Electrónica",¿Cómo se vería un oscilograma afectado por una válvula de inyección que se cierra lentamente durante la fase de carga en un sistema MPI?,Reducción en la duración de la inyección.,Aumento en la duración de la inyección durante la fase de ralentí.,Variación en la frecuencia de la señal.,Prolongación en la duración de la inyección.,Prolongación en la duración de la inyección.
98,"Inyección Electrónica",Una forma de onda de inyección que muestra un pico de corriente demasiado alto durante la deceleración. ¿Qué indica?,Normal funcionamiento en deceleración,Posibles problemas en el sistema de control de inyección durante la deceleración,Reducción en las emisiones de CO,Mayor eficiencia del sistema EGR,Posibles problemas en el sistema de control de inyección durante la deceleración
99,"Inyección Electrónica",¿Qué componente del sistema de inyección regula la presión constante de combustible en el riel (rail)?,"Bomba de alta presión","Regulador de presión de combustible","Sensor de presión absoluta del múltiple (MAP)","Válvula de mariposa electrónica",Regulador de presión de combustible
100,"Inyección Electrónica",En los sistemas Common Rail Diésel, ¿qué función cumple el sensor de presión del riel (Rail Pressure Sensor)?,"Mide la temperatura del combustible.","Mide la masa de aire.","Determina la cantidad de combustible a inyectar.","Informa a la ECU la presión exacta del combustible.",Informa a la ECU la presión exacta del combustible.
101,"Inyección Electrónica",Un código DTC P0171 indica que el sistema está demasiado pobre (Lean) en el Banco 1. ¿Cuál es una causa posible?,"Presión de combustible excesiva.","Fuga de vacío después del sensor MAF.","Inyector de combustible goteando.","Sensor de oxígeno defectuoso indicando mezcla rica.",Fuga de vacío después del sensor MAF.
102,"Inyección Electrónica",¿Cuál es la función del sensor de posición del cigüeñal (CKP) en la inyección electrónica?,"Determinar el tiempo de encendido y la velocidad del motor.","Medir la masa de aire.","Controlar la apertura de la válvula EGR.","Monitorear la temperatura del catalizador.",Determinar el tiempo de encendido y la velocidad del motor.
103,"Inyección Electrónica",En un sistema de inyección secuencial multipunto (MPI), ¿cuándo se inyecta el combustible?,"Simultáneamente en todos los cilindros.","De forma grupal (por bancos de cilindros).","Individualmente en cada cilindro, sincronizado con la válvula de admisión.","Continuamente en el múltiple de admisión.",Individualmente en cada cilindro, sincronizado con la válvula de admisión.
104,"Inyección Electrónica",¿Qué sensor es el principal responsable de la corrección del "trim de combustible" a largo plazo (Long Term Fuel Trim)?,"Sensor de posición del acelerador (TPS)","Sensor de oxígeno (Sonda Lambda)","Sensor de temperatura del aire de admisión (IAT)","Sensor de detonación (Knock Sensor)",Sensor de oxígeno (Sonda Lambda)
105,"Inyección Electrónica",Una resistencia de 1.5 ohmios medida en un inyector de combustible indica que es un inyector de tipo:,"Alta impedancia (High Impedance)","Baja impedancia (Low Impedance)","Piezoeléctrico","Mecánico",Baja impedancia (Low Impedance)
106,"Inyección Electrónica",¿Cuál es el valor estequiométrico ideal (lambda = 1) para la mezcla aire-combustible en motores de gasolina?,"12.5:1","14.7:1","16.2:1","10.0:1",14.7:1
107,"Inyección Electrónica",El modo de "bucle abierto" (Open Loop) ocurre típicamente cuando:,"El motor está caliente y funcionando en crucero.","Se está calentando el motor o el sensor de oxígeno no ha alcanzado su temperatura.","El vehículo circula a alta velocidad.","El pedal del acelerador se suelta (ralentí forzado).",Se está calentando el motor o el sensor de oxígeno no ha alcanzado su temperatura.
108,"Inyección Electrónica",¿Qué tipo de sensor MAF mide la masa de aire utilizando un alambre calentado, y cuya suciedad afecta gravemente la medición?,"Vane Airflow Sensor","Hot Wire (Hilo Caliente)","Karman Vortex Sensor","Cold Wire",Hot Wire (Hilo Caliente)
109,"Inyección Electrónica",Un inyector de gasolina que gotea (no cierra correctamente) puede causar:,"Mezcla pobre y sobrecalentamiento.","Mezcla rica, humo negro y problemas de arranque en caliente.","Baja presión de combustible en el riel.","Aumento de potencia del motor.",Mezcla rica, humo negro y problemas de arranque en caliente.
110,"Inyección Electrónica",¿Qué herramienta de diagnóstico se utiliza para ver la forma de onda de voltaje/corriente de un inyector o sensor en función del tiempo?,"Multímetro digital.","Manómetro de combustible.","Osciloscopio.","Luz estroboscópica.",Osciloscopio.
111,"Inyección Electrónica",¿Qué es el "Duty Cycle" o ciclo de trabajo de un inyector?,"El tiempo que el inyector permanece abierto.","La frecuencia de la señal que lo activa.","El porcentaje de tiempo que el inyector está energizado en un ciclo de motor.","El número de veces que inyecta por ciclo.",El porcentaje de tiempo que el inyector está energizado en un ciclo de motor.
